company,product_id,canonical_item,original_unit,canonical_unit,original_value,source_table
GIANT,giant:g2200e_x_tra,battery_capacity,Ah / 48V,kWh,Li-ion 260Ah/48V,giant_g2200e_series_仕様一覧_仕様比較
GIANT,giant:g2200e,battery_capacity,Ah / 48V,kWh,Li-ion 260Ah/48V,giant_g2200e_series_仕様一覧_仕様比較
